               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 141,            0.016537,            0.019015,           0.0012079,             0.99727,             0.99753,              0.9948,             0.86391,             0.01581,            0.012122,           0.0011959,           0.0059704,           0.0059704,           0.0059704
                 142,            0.016764,            0.020416,           0.0012963,             0.99724,             0.99753,              0.9948,             0.86539,            0.015866,            0.012231,           0.0011925,           0.0059235,           0.0059235,           0.0059235
                 143,            0.016917,            0.019764,           0.0012726,             0.99706,             0.99753,             0.99485,             0.86808,             0.01556,            0.011968,           0.0011767,           0.0058766,           0.0058766,           0.0058766
                 144,            0.016024,            0.017556,           0.0011126,             0.99706,             0.99752,             0.99473,             0.87191,            0.015164,            0.011529,           0.0011652,           0.0058296,           0.0058296,           0.0058296
                 145,            0.016845,             0.01779,           0.0012189,              0.9973,             0.99753,             0.99478,             0.87703,            0.015367,            0.011486,           0.0012035,           0.0057826,           0.0057826,           0.0057826
                 146,            0.016338,            0.019024,           0.0011941,             0.99722,             0.99753,              0.9949,             0.87679,            0.015452,            0.011866,           0.0011845,           0.0057355,           0.0057355,           0.0057355
                 147,            0.016755,              0.0222,           0.0013067,             0.99679,             0.99752,              0.9948,             0.86889,            0.015441,            0.011878,           0.0011724,           0.0056884,           0.0056884,           0.0056884
                 148,            0.016258,            0.017001,           0.0011984,             0.99722,             0.99753,             0.99498,             0.86072,             0.01547,            0.012014,           0.0011797,           0.0056413,           0.0056413,           0.0056413
                 149,            0.015648,            0.020346,           0.0012045,             0.99709,             0.99752,             0.99495,             0.87449,            0.015156,            0.011888,           0.0011724,           0.0055942,           0.0055942,           0.0055942
                 150,            0.015864,            0.020077,           0.0012425,             0.99732,             0.99753,             0.99488,             0.87438,            0.015245,            0.012052,           0.0011731,           0.0055471,           0.0055471,           0.0055471
                 151,              0.0158,            0.019393,           0.0012265,             0.99721,             0.99753,             0.99473,             0.87427,            0.015418,            0.011984,           0.0011343,              0.0055,              0.0055,              0.0055
                 152,            0.016284,            0.019003,           0.0012336,             0.99708,             0.99753,             0.99493,             0.86564,            0.015793,            0.011737,           0.0011137,           0.0054529,           0.0054529,           0.0054529
                 153,            0.015546,              0.0192,           0.0012207,             0.99734,             0.99753,             0.99498,             0.87156,            0.015616,            0.012044,           0.0011045,           0.0054058,           0.0054058,           0.0054058
